SeedlotNumber,State,County,LatitudeDecimal,LongDecimal,Elevation_ft,Mortality_percent,leafOutDate_May,ht_age7_ft,ht_diam_Ratio_ft_in
2503,Minn.,Brown,44.3,94.5,1000,8,15,7.7,48
1803,Iowa,Delaware,42.3,91.2,900,12,15,8.4,51
1602,Ill.,Rock Island,41.5,90.4,600,0,15,8.5,47
1903,Kan.,Leavenworth,39.1,94.9,900,16,16,8.4,54
2703,Mo.,Cedar,37.9,93.9,900,20,14,8.5,50
2405,Mich.,Washtenaw,42.5,83.8,800,12,16,8.5,50
2403,Mich.,St. Joseph,42.0,85.8,800,20,17,8.3,50
1702,Ind.,Putnam,39.8,87.0,700,38,17,7.8,53
1704,Ind.,Jackson,39.0,86.1,800,16,16,8.5,50
1708,Ind.,Perry,38.2,86.6,800,62,13,6.9,53
3502,Pa.,Union,41.0,77.2,600,38,18,7.8,50
4202,W. Va.,Greenbrier,37.9,80.2,1900,0,16,10.7,51
4101,Va.,Rockbridge,37.8,79.5,1000,8,14,9.4,46
4103,Va.,Halifax,36.9,78.7,400,16,14,9.3,47
2002,Ky.,Menifee,38.0,83.5,1000,4,12,9.3,49
2004,Ky.,Laurel,37.0,84.3,1100,4,12,8.7,49
2001,Ky.,Logan,36.9,86.8,500,8,12,9.2,52
3803,Tenn.,Union,36.3,83.7,1300,4,11,8.8,45
3804,Tenn.,Johnson,36.4,82.0,2000,4,15,8.4,45
3102,N.C,Graham,35.4,83.7,2900,0,12,9.9,45
