seedSource,State/Province,Lat.Deg,Long.Deg,Elev.m,test,Perc_flowers,Avg_Bud_per_Tree,Perc_Wntr_Inj,Avg_Time_Flush
120,MO,37.3,-91,366,IN,22,37,15,
122,VA,37.9,-76.8,6,IN,49,252,15,
124,NC,35.1,-84.1,507,IN,7,3,17,
128,OH,39.4,-82.5,274,IN,3,230,22,
134,OH,40.6,-82.2,305,IN,11,31,14,
137,MI,42.7,-84.5,265,IN,7,59,12,
139,MN,44.9,-93.6,290,IN,28,85,14,
141,MI,42.4,-85.3,274,IN,18,104,12,
145,WI,45.6,-89.8,488,IN,14,9,14,
151,NH,43.1,-71.1,76,IN,13,148,11,
152,ME,43.4,-70.7,79,IN,15,31,10,
153,ON,46,-77.4,152,IN,3,1,2,
155,WI,45.6,-89.8,488,IN,5,42,11,
157,MN,48,-91.6,397,IN,6,7,12,
160,NY,42.7,-76,558,IN,8,144,11,
162,MI,46.7,-89.8,225,IN,0,,8,
163,ME,44.4,-70.8,225,IN,10,14,13,
164,ON,44.2,-80,219,IN,3,1,15,
165,NF,48.3,-54.2,46,IN,0,,21,
166,QU,46.6,-71.4,91,IN,0,,7,
167,NB,46,-66.4,61,IN,11,17,15,
115,AR,34.3,-93.6,168,MI,81,145,44,4
116,NC,35.7,-82.8,549,MI,42,60,17,6
117,KY,37.6,-84.9,274,MI,95,191,11,5
118,TN,35.3,-84.5,337,MI,,146,42,5
119,VA,38,-78.5,165,MI,89,110,79,4
120,MO,37.3,-91,366,MI,91,130,14,5
122,VA,37.9,-76.8,6,MI,97,171,70,5
123,TN,36.1,-82.7,610,MI,61,58,18,5
124,NC,35.1,-84.1,507,MI,75,64,36,5
128,OH,39.4,-82.5,274,MI,82,84,6,5
133,IN,39,-86.3,229,MI,53,70,56,5
134,OH,40.6,-82.2,305,MI,89,121,5,6
135,WV,39.1,-79.7,671,MI,91,60,4,5
136,TN,36,-85,559,MI,95,115,53,5
137,MI,42.7,-84.5,265,MI,81,101,6,6
139,MN,44.9,-93.6,290,MI,71,101,0,7
141,MI,42.4,-85.3,274,MI,78,118,0,5
142,PA,40.7,-77.9,518,MI,92,55,15,3
143,PA,40.7,-77.9,305,MI,58,108,3,4
144,RI,41.7,-71.7,61,MI,50,70,5,3
145,WI,45.6,-89.8,488,MI,93,113,6,6
146,CT,41.7,-72.3,244,MI,75,128,0,4
149,PA,41.9,-78.8,658,MI,57,75,3,5
151,NH,43.1,-71.1,76,MI,84,96,16,6
152,ME,43.4,-70.7,79,MI,58,91,0,5
153,ON,46,-77.4,152,MI,71,75,6,5
155,WI,45.6,-89.8,488,MI,79,117,0,6
156,ON,47.3,-79.8,274,MI,53,72,6,6
157,MN,48,-91.6,397,MI,73,94,7,7
158,VA,36.9,-82.5,853,MI,50,82,17,4
159,MN,47.4,-94.2,396,MI,89,81,5,5
160,NY,42.7,-76,558,MI,64,116,8,6
161,VT,44.5,-72.4,518,MI,59,40,0,6
162,MI,46.7,-89.8,225,MI,40,36,4,7
163,ME,44.4,-70.8,225,MI,70,94,0,6
164,ON,44.2,-80,219,MI,80,85,3,7
165,NF,48.3,-54.2,46,MI,83,107,0,5
166,QU,46.6,-71.4,91,MI,48,53,0,7
167,NB,46,-66.4,61,MI,74,68,0,8
122,VA,37.9,-76.8,6,MN,30,119,81,3
128,OH,39.4,-82.5,274,MN,68,80,27,3
134,OH,40.6,-82.2,305,MN,75,104,17,2
139,MN,44.9,-93.6,290,MN,100,243,0,4
145,WI,45.6,-89.8,488,MN,95,155,9,3
146,CT,41.7,-72.3,244,MN,,,13,
149,PA,41.9,-78.8,658,MN,26,74,4,2
151,NH,43.1,-71.1,76,MN,87,147,,3
153,ON,46,-77.4,152,MN,78,108,9,5
155,WI,45.6,-89.8,488,MN,91,192,0,4
157,MN,48,-91.6,397,MN,87,240,7,7
160,NY,42.7,-76,558,MN,81,99,8,3
162,MI,46.7,-89.8,225,MN,54,72,0,9
163,ME,44.4,-70.8,225,MN,59,98,9,4
165,NF,48.3,-54.2,46,MN,75,88,12,2
166,QU,46.6,-71.4,91,MN,67,103,0,5
167,NB,46,-66.4,61,MN,74,109,10,5
106,MS,33.3,-88.8,82,OH,12,34,96,5
110,AL,32.7,-85.5,15,OH,2,0,98,4
111,GA,33.7,-83.4,131,OH,0,,87,3
112,AR,35.7,-93.2,427,OH,56,91,36,7
113,NC,35.7,-78.5,132,OH,38,109,93,6
115,AR,34.3,-93.6,168,OH,31,70,96,7
116,NC,35.7,-82.8,549,OH,28,35,60,8
117,KY,37.6,-84.9,274,OH,66,14,59,6
118,TN,35.3,-84.5,337,OH,46,260,82,6
119,VA,38,-78.5,165,OH,61,279,89,6
120,MO,37.3,-91,366,OH,79,233,26,6
121,NC,35,-84,1067,OH,35,137,65,6
122,VA,37.9,-76.8,6,OH,58,468,89,6
123,TN,36.1,-82.7,610,OH,43,109,37,6
124,NC,35.1,-84.1,507,OH,57,132,63,6
127,DE,39.7,-78.5,213,OH,86,439,36,6
128,OH,39.4,-82.5,274,OH,69,191,34,6
132,GA,34.9,-84.6,838,OH,11,175,11,3
133,IN,39,-86.3,229,OH,58,148,60,5
134,OH,40.6,-82.2,305,OH,74,217,21,4
135,WV,39.1,-79.7,671,OH,57,135,15,6
136,TN,36,-85,559,OH,51,195,61,7
137,MI,42.7,-84.5,265,OH,76,230,23,5
138,NJ,40.5,-74.5,290,OH,77,259,47,5
139,MN,44.9,-93.6,290,OH,89,396,9,7
140,WV,38.2,-80.4,1067,OH,58,116,12,6
141,MI,42.4,-85.3,274,OH,73,224,10,4
142,PA,40.7,-77.9,518,OH,70,100,27,3
143,PA,40.7,-77.9,305,OH,65,142,11,4
144,RI,41.7,-71.7,61,OH,41,75,22,6
145,WI,45.6,-89.8,488,OH,91,238,7,6
146,CT,41.7,-72.3,244,OH,91,206,27,4
149,PA,41.9,-78.8,658,OH,50,133,20,4
151,NH,43.1,-71.1,76,OH,80,213,17,5
152,ME,43.4,-70.7,79,OH,81,205,11,6
153,ON,46,-77.4,152,OH,76,119,19,8
154,PA,40,-77.5,427,OH,75,106,33,4
155,WI,45.6,-89.8,488,OH,77,185,9,6
156,ON,47.3,-79.8,274,OH,47,125,12,8
157,MN,48,-91.6,397,OH,84,194,15,9
158,VA,36.9,-82.5,853,OH,52,115,34,5
159,MN,47.4,-94.2,396,OH,79,80,37,7
160,NY,42.7,-76,558,OH,63,53,11,6
161,VT,44.5,-72.4,518,OH,72,122,19,8
162,MI,46.7,-89.8,225,OH,54,102,13,10
163,ME,44.4,-70.8,225,OH,73,277,10,7
164,ON,44.2,-80,219,OH,77,203,9,7
165,NF,48.3,-54.2,46,OH,67,125,12,4
166,QU,46.6,-71.4,91,OH,57,138,19,8
167,NB,46,-66.4,61,OH,46,70,16,8
122,VA,37.9,-76.8,6,WI,0,,100,
124,NC,35.1,-84.1,507,WI,0,,100,
128,OH,39.4,-82.5,274,WI,13,37,94,
134,OH,40.6,-82.2,305,WI,20,15,100,
137,MI,42.7,-84.5,265,WI,5,16,100,
139,MN,44.9,-93.6,290,WI,29,34,76,
141,MI,42.4,-85.3,274,WI,5,1,100,
142,PA,40.7,-77.9,518,WI,13,1,100,
145,WI,45.6,-89.8,488,WI,52,60,71,
146,CT,41.7,-72.3,244,WI,9,75,100,
149,PA,41.9,-78.8,658,WI,,10,100,
151,NH,43.1,-71.1,76,WI,29,44,92,
152,ME,43.4,-70.7,79,WI,11,1,93,
153,ON,46,-77.4,152,WI,18,5,94,
155,WI,45.6,-89.8,488,WI,30,61,70,
157,MN,48,-91.6,397,WI,5,25,100,
159,MN,47.4,-94.2,396,WI,50,26,90,
160,NY,42.7,-76,558,WI,9,4,83,
162,MI,46.7,-89.8,225,WI,0,,86,
163,ME,44.4,-70.8,225,WI,22,95,81,
164,ON,44.2,-80,219,WI,12,12,100,
165,NF,48.3,-54.2,46,WI,0,,100,
166,QU,46.6,-71.4,91,WI,12,7,71,
167,NB,46,-66.4,61,WI,0,,71,
