"","df","AIC","r2s"
"glm.null",1,2486.11000827386,0
"glm.mat",2,665.847912170055,0.733567390346793
"glm.day",2,871.116844804172,0.650934603573894
"glm.dd0at",2,1024.71636762075,0.58910178525869
"glm.dd0wt",2,885.789379932655,0.645028047471462
"glm.tmaxat",2,730.850010317193,0.707400232720667
"glm.mwmt",2,846.191551173682,0.660968496415786
"glm.mcmt",2,795.711648310246,0.681289618546167
"glm.effp",2,631.871349976244,0.747244949746596
"glm.map",2,1932.53403767475,0.456610121456169
"glm.cmd",2,1353.84023568545,0.22365191909724
"glm.td",2,1299.70569618014,0.478402449221447
