SourceNumber,StateOrProvince,Latitude_degrees,Longitude_degrees,Elevation_ft,Height_3yr_cm,Diam_3yr_mm,growthInitiation,PercentWinterDamage
3243,Newfoundland,47.2,53.4,50,46,6.3,2.89,18.6
3244,Newfoundland,48.6,58.2,400,51.9,6.5,3.57,14.3
3241,Nova Scotia,46.6,60.5,100,56,6.9,3.89,19
3065,Nova Scotia,45.4,61.8,450,38.9,5.6,3.86,10.5
3242,Nova Scotia,44.8,65.2,650,48.5,6,3.75,32.2
3063,Nova Scotia,44.1,65.8,350,44.8,6.1,3.38,23.4
3068,New Brunswick,46.0,66.4,300,47.9,6.3,4,47
3066,New Brunswick,47.4,65.2,300,46.9,6.5,3.56,20.4
3067,New Brunswick,47.5,67.4,925,46.2,6.7,4,28.1
3001,Quebec,49.2,65.1,300,41.8,5.8,4.14,6.2
2998,Quebec,48.2,70.2,1000,36.5,5.8,4.56,17.8
2997,Quebec,47.0,70.3,400,39.7,6,4,23.7
2999,Quebec,47.4,72.6,1000,46.9,6.4,3.75,11.6
3000,Quebec,47.5,75.0,1500,41.8,5.9,3.71,17.5
3002,Ontario,45.1,76.9,1000,50.3,6.2,3.33,25.2
3003,Ontario,46.1,79.0,1000,46.6,6,3.5,28.5
3004,Ontario,46.7,79.6,1000,51.2,6.6,3.33,14.2
3311,Ontario,45.0,81.4,625,52.8,7.1,3.88,20.3
3309,Ontario,47.5,84.8,1000,45.8,6,3.38,9.8
2977,Maine,44.8,68.6,250,40,5.9,3.67,36.1
2956,Maine,43.7,70.9,1000,46.1,6.2,3.56,19.6
2985,New Hampshire,44.0,71.4,1900,44.1,5.5,3.22,18.4
2986,New Hampshire,43.5,71.4,1300,52.4,6.6,3.71,23.2
2982,Vermont,44.7,72.6,1250,54.7,6.8,2.88,30.2
2971,Massachusetts,42.7,73.2,1610,47.6,6.1,3.25,25.8
2980,New York,49.2,74.9,1620,52.8,6.3,3.78,13.4
2996,New York,42.5,74.2,2100,54,6.5,3.44,17.5
2976,New York,42.3,77.3,1300,52.4,6.3,2.33,40
2979,Pennsylvania,41.3,76.3,2300,53.9,6.4,2.86,31
3312,Pennsylvania,41.6,78.7,1800,57.4,6.6,2.44,47.2
2969,West Virginia,39.0,79.7,2200,58.5,6.6,2.22,43.8
3299,Virginia,37.8,79.1,3000,38.6,5.4,1.62,50.6
2959,North Carolina,35.7,82.3,5160,52.2,6.3,2,18.7
2973,Georgia,34.8,83.8,4700,44.1,5.7,1.78,24.1
2953,Tennessee,35.2,85.7,1740,32.1,4.7,1.5,91.4
2954,Tennessee,35.7,85.3,1420,29.3,4.2,2,82.7
3294,Kentucky,36.9,82.9,3600,54.3,6.1,1.62,53.7
2955,Ohio,39.5,82.5,830,49.8,6.1,2.44,74.6
2958,Indiana,38.3,86.5,100,44,6.2,2.33,52.7
2983,Illinois,41.9,89.4,680,42.4,5.6,3.75,28
3295,Iowa,42.4,93.1,1050,59.9,6.6,2.89,24.2
2961,Michigan,45.0,85.0,1000,63.6,7.1,3.38,34.4
2960,Michigan,45.9,84.8,625,49.4,6.3,3.33,21.6
2978,Michigan,46.7,87.9,1675,41.1,6.1,3.44,17
2987,Michigan,47.0,88.7,1250,45.6,6.1,3.62,6.7
2968,Wisconsin,46.5,92.1,1150,45.7,6.1,3.67,9.9
3298,Wisconsin,45.7,89.0,1710,42.1,5.5,3.86,17.6
3297,Wisconsin,44.5,90.4,1100,49.6,6.2,2.22,17.8
2962,Wisconsin,44.9,87.2,600,55.5,6.7,3.88,27.9
2963,Wisconsin,43.1,88.4,900,49.2,6.2,2.78,19
2964,Minnesota,44.2,94.1,800,49.6,6.4,3.28,12.7
2965,Minnesota,47.2,95.2,1480,50.7,6.8,3.6,23.2
2966,Minnesota,47.6,92.5,1700,54.5,6.7,3.25,26.8
2967,Minnesota,47.8,90.2,1400,49.7,6.6,3.5,18.7
2957,"Isle Royale, MI",47.9,89.1,750,41.8,6,4,29.6
