Population,LeafFlushing_SampleSize,LeafFlushing_NumberofMotherTrees,LeafFlushing_MeanStage,LeafFlushing_Range_min,LeafFlushing_Range_max,GrowthCessation_SampleSize,GrowthCessation_NumberofMotherTrees,GrowthCessation_MeanDays,GrowthCessation_Range_min,GrowthCessation_Range_max
A1-22DR,7,1,1.86,1,3,6,2,42.5,33,54
A2-31PB,34,4,1.65,1,2,26,5,49.5,36,54
A3-40CC,24,5,2.12,1,3,17,5,50.9,41,61
A4-52DC,7,2,1.71,1,2,6,2,33.3,25,41
B1-22BC,12,4,2.17,1,3,8,4,54.9,47,61
B2-24N,7,2,2.14,2,3,,,,,
B3-31BC,13,1,2.08,1,3,7,1,46.3,41,54
B6-40HK,9,3,1.89,1,2,,,,,
B7-36D,7,1,2.57,2,3,6,1,39.5,36,47
C1-22FC,8,3,1.75,1,2,6,3,50.7,41,54
C2-25MC,26,7,2.31,1,3,15,5,43.6,33,54
C3-30GR,13,4,2.31,2,3,8,4,31.2,25,47
C4-35L,36,13,2.33,1,3,18,10,43.2,29,54
C5-40SC,13,1,2.92,2,3,5,1,28.4,22,33
C6-40GK,14,3,2.14,1,3,13,3,37.1,22,54
G1-09BC,17,2,2.29,1,3,12,2,41.2,29,54
E3-10B,39,6,2.97,2,4,34,6,30.6,19,47
E4-10HB,17,5,3.18,2,4,15,3,32.7,22,54
E5-20HB,26,7,3.12,2,4,16,5,25.6,19,36
E6-20MW,39,4,3.00,2,4,34,5,34.8,19,54
E7-28MW,45,5,3.09,2,4,35,5,23.1,19,33
F1-02CW,12,4,2.75,2,3,7,2,37.3,33,41
F2-06JF,11,2,3.00,2,4,7,2,43.7,33,54
